location,currency,month,exchange_rate_to_INR,accommodation_type,travel_purpose,traveler_type,tags,average_days,hotel_cost_on_season_INR,hotel_cost_off_season_INR,hotel_cost_on_season_local,hotel_cost_off_season_local,transport_options,transport_cost_on_season_INR,transport_cost_off_season_INR,transport_cost_on_season_local,transport_cost_off_season_local,extra_expenses_INR,extra_expenses_local,total_budget_on_season_INR,total_budget_off_season_INR
Goa,INR,December,1.0,Airbnb,Leisure,Budget Traveler,"romantic, family, solo",5,12756.0,9567.0,12756.0,9567.0,Train,11641.2,8730.9,11641.2,8730.9,7252.12,7252.12,31649.32,25550.02
Bangkok,THB,August,2.4,Hotel,Pilgrimage,Budget Traveler,cultural,15,2638.0,2374.2,1099.17,989.25,Flight,3332.0,2998.8,1388.33,1249.5,3820.05,1591.69,9790.05,9193.05
Kerala,INR,September,1.0,Hostel,Adventure,Luxury Traveler,"cultural, adventure",10,5202.0,5508.0,5202.0,5508.0,Train,3062.55,3242.7,3062.55,3242.7,6976.32,6976.32,15240.87,15727.02
Singapore,SGD,November,62.0,Hotel,Business,Luxury Traveler,romantic,10,14236.0,12812.4,229.61,206.65,Train,8677.0,7809.3,139.95,125.96,4841.89,78.09,27754.89,25463.59
Goa,INR,February,1.0,Resort,Business,Budget Traveler,"family, romantic, adventure",3,3339.65,3536.1,3339.65,3536.1,Train,4462.5,4725.0,4462.5,4725.0,1663.63,1663.63,9465.779999999999,9924.73
Istanbul,EUR,April,90.0,Resort,Leisure,Business Traveler,"adventure, cultural",6,17498.0,15748.2,194.42,174.98,Flight,14730.0,13257.0,163.67,147.3,3982.36,44.25,36210.36,32987.56
Manali,INR,July,1.0,Hostel,Pilgrimage,Family Traveler,"family, adventure",6,13118.0,11806.2,13118.0,11806.2,Bus,14616.0,13154.4,14616.0,13154.4,1778.11,1778.11,29512.11,26738.71
London,GBP,February,105.0,Hostel,Pilgrimage,Family Traveler,solo,4,14042.0,14868.0,133.73,141.6,Train,12527.3,13264.2,119.31,126.33,5012.93,47.74,31582.23,33145.13
Istanbul,EUR,August,90.0,Resort,Business,Business Traveler,"adventure, romantic",5,9004.0,8103.6,100.04,90.04,Car Rental,8070.0,7263.0,89.67,80.7,1444.18,16.05,18518.18,16810.78
Paris,EUR,May,90.0,Resort,Leisure,Backpacker,solo,14,10959.6,8219.7,121.77,91.33,Train,2949.6,2212.2,32.77,24.58,5792.47,64.36,19701.67,16224.37
Cape Town,ZAR,February,4.5,Hotel,Pilgrimage,Luxury Traveler,"solo, family",4,6875.65,7280.1,1527.92,1617.8,Flight,2228.7,2359.8,495.27,524.4,6079.84,1351.08,15184.19,15719.74
Cape Town,ZAR,June,4.5,Resort,Leisure,Backpacker,"family, romantic",14,12652.8,9489.6,2811.73,2108.8,Bus,5815.2,4361.4,1292.27,969.2,6244.96,1387.77,24712.96,20095.96
Goa,INR,August,1.0,Airbnb,Business,Luxury Traveler,"solo, family",6,5276.0,4748.4,5276.0,4748.4,Bus,2700.0,2430.0,2700.0,2430.0,5410.36,5410.36,13386.36,12588.76
Rome,EUR,September,90.0,Airbnb,Leisure,Family Traveler,"solo, family",13,10125.2,10720.8,112.5,119.12,Flight,9792.85,10368.9,108.81,115.21,7655.05,85.06,27573.1,28744.75
Sydney,AUD,March,55.0,Hotel,Pilgrimage,Luxury Traveler,"romantic, adventure, family",6,10924.0,9831.6,198.62,178.76,Flight,6116.0,5504.4,111.2,100.08,6213.13,112.97,23253.13,21549.13
New York,USD,January,83.0,Resort,Leisure,Backpacker,adventure,5,1798.6,1904.4,21.67,22.94,Flight,5919.4,6267.6,71.32,75.51,7517.65,90.57,15235.65,15689.65
Kerala,INR,December,1.0,Airbnb,Leisure,Luxury Traveler,"family, solo",8,8260.8,6195.6,8260.8,6195.6,Bus,12525.6,9394.2,12525.6,9394.2,1316.37,1316.37,22102.77,16906.17
Dubai,AED,April,22.5,Hostel,Leisure,Business Traveler,"family, cultural, solo",8,10176.0,9158.4,452.27,407.04,Car Rental,12427.0,11184.3,552.31,497.08,1945.19,86.45,24548.19,22287.89
Rishikesh,INR,December,1.0,Resort,Pilgrimage,Luxury Traveler,"family, solo",15,15462.0,11596.5,15462.0,11596.5,Flight,17181.6,12886.2,17181.6,12886.2,4520.57,4520.57,37164.17,29003.27
London,GBP,April,105.0,Resort,Adventure,Luxury Traveler,family,15,17083.0,15374.7,162.7,146.43,Bus,7228.0,6505.2,68.84,61.95,3759.93,35.81,28070.93,25639.83
Kerala,INR,May,1.0,Airbnb,Adventure,Family Traveler,"solo, cultural",9,16207.2,12155.4,16207.2,12155.4,Train,14412.0,10809.0,14412.0,10809.0,5358.73,5358.73,35977.93,28323.13
Manali,INR,February,1.0,Hostel,Leisure,Family Traveler,"solo, adventure, romantic",15,13803.15,14615.1,13803.15,14615.1,Bus,6088.55,6446.7,6088.55,6446.7,6708.34,6708.34,26600.04,27770.14
Barcelona,EUR,January,90.0,Airbnb,Leisure,Luxury Traveler,"adventure, solo",13,16180.6,17132.4,179.78,190.36,Bus,12506.05,13241.7,138.96,147.13,5647.42,62.75,34334.07,36021.52
Tokyo,JPY,September,0.55,Resort,Adventure,Backpacker,"family, cultural, adventure",8,10313.9,10920.6,18752.55,19855.64,Train,10562.1,11183.4,19203.82,20333.45,4260.19,7745.8,25136.19,26364.19
Singapore,SGD,September,62.0,Resort,Pilgrimage,Family Traveler,"romantic, adventure, family",6,1711.05,1811.7,27.6,29.22,Train,5506.3,5830.2,88.81,94.04,3303.03,53.27,10520.38,10944.93
Rishikesh,INR,November,1.0,Airbnb,Business,Backpacker,family,13,4778.0,4300.2,4778.0,4300.2,Train,6149.0,5534.1,6149.0,5534.1,5360.84,5360.84,16287.84,15195.14
Leh,INR,January,1.0,Resort,Pilgrimage,Budget Traveler,"adventure, family",12,2986.9,3162.6,2986.9,3162.6,Car Rental,4684.35,4959.9,4684.35,4959.9,5234.18,5234.18,12905.43,13356.68
London,GBP,March,105.0,Resort,Business,Luxury Traveler,cultural,4,2181.0,1962.9,20.77,18.69,Flight,13803.0,12422.7,131.46,118.31,7714.94,73.48,23698.94,22100.54
Jaipur,INR,August,1.0,Resort,Business,Family Traveler,"romantic, adventure, cultural",13,6369.0,5732.1,6369.0,5732.1,Car Rental,14630.0,13167.0,14630.0,13167.0,4835.92,4835.92,25834.92,23735.02
Istanbul,EUR,August,90.0,Resort,Adventure,Family Traveler,"family, romantic",13,10493.0,9443.7,116.59,104.93,Flight,13817.0,12435.3,153.52,138.17,2890.27,32.11,27200.27,24769.27
London,GBP,May,105.0,Hotel,Pilgrimage,Luxury Traveler,"family, cultural",4,15606.0,11704.5,148.63,111.47,Car Rental,8085.6,6064.2,77.01,57.75,5031.71,47.92,28723.31,22800.41
Bangkok,THB,September,2.4,Hotel,Adventure,Business Traveler,"solo, adventure, family",6,14676.95,15540.3,6115.4,6475.12,Bus,7065.2,7480.8,2943.83,3117.0,1610.53,671.05,23352.68,24631.63
Singapore,SGD,July,62.0,Resort,Leisure,Luxury Traveler,"family, romantic",11,19636.0,17672.4,316.71,285.04,Car Rental,13747.0,12372.3,221.73,199.55,7438.89,119.98,40821.89,37483.59
Singapore,SGD,June,62.0,Hotel,Pilgrimage,Family Traveler,"solo, adventure, romantic",10,18297.6,13723.2,295.12,221.34,Flight,16036.8,12027.6,258.66,193.99,2549.35,41.12,36883.74999999999,28300.15
Leh,INR,August,1.0,Airbnb,Adventure,Business Traveler,"romantic, adventure",9,7954.0,7158.6,7954.0,7158.6,Car Rental,2323.0,2090.7,2323.0,2090.7,3022.89,3022.89,13299.89,12272.19
Kerala,INR,August,1.0,Hotel,Business,Backpacker,solo,3,2635.0,2371.5,2635.0,2371.5,Flight,13772.0,12394.8,13772.0,12394.8,5959.7,5959.7,22366.7,20726.0
Paris,EUR,January,90.0,Airbnb,Business,Family Traveler,adventure,10,5944.05,6293.7,66.05,69.93,Bus,4596.8,4867.2,51.08,54.08,2102.94,23.37,12643.79,13263.84
Jaipur,INR,March,1.0,Hostel,Business,Family Traveler,"adventure, cultural, romantic",3,12192.0,10972.8,12192.0,10972.8,Flight,3271.0,2943.9,3271.0,2943.9,6232.36,6232.36,21695.36,20149.06
Jaipur,INR,December,1.0,Resort,Leisure,Family Traveler,romantic,15,14258.4,10693.8,14258.4,10693.8,Bus,15252.0,11439.0,15252.0,11439.0,5469.48,5469.48,34979.88,27602.28
Cape Town,ZAR,November,4.5,Hostel,Business,Budget Traveler,"romantic, adventure",9,13181.0,11862.9,2929.11,2636.2,Car Rental,1707.0,1536.3,379.33,341.4,8472.09,1882.69,23360.09,21871.29
Cape Town,ZAR,November,4.5,Airbnb,Leisure,Business Traveler,"cultural, romantic",11,10850.0,9765.0,2411.11,2170.0,Train,11591.0,10431.9,2575.78,2318.2,8038.55,1786.34,30479.55,28235.45
New York,USD,August,83.0,Airbnb,Pilgrimage,Business Traveler,"solo, adventure",12,9990.0,8991.0,120.36,108.33,Train,13795.0,12415.5,166.2,149.58,4912.05,59.18,28697.05,26318.55
Paris,EUR,June,90.0,Hostel,Pilgrimage,Backpacker,"solo, family, cultural",12,12558.0,9418.5,139.53,104.65,Car Rental,8491.2,6368.4,94.35,70.76,3422.38,38.03,24471.58,19209.28
Sydney,AUD,April,55.0,Hostel,Business,Budget Traveler,romantic,10,17600.0,15840.0,320.0,288.0,Car Rental,12082.0,10873.8,219.67,197.71,6760.2,122.91,36442.2,33474.0
Tokyo,JPY,November,0.55,Airbnb,Adventure,Family Traveler,"romantic, adventure",11,14092.0,12682.8,25621.82,23059.64,Bus,9253.0,8327.7,16823.64,15141.27,5361.07,9747.4,28706.07,26371.57
London,GBP,February,105.0,Resort,Adventure,Luxury Traveler,family,14,7063.5,7479.0,67.27,71.23,Bus,5668.65,6002.1,53.99,57.16,1993.19,18.98,14725.34,15474.29
Jaipur,INR,April,1.0,Hotel,Adventure,Family Traveler,romantic,5,11707.0,10536.3,11707.0,10536.3,Flight,5227.0,4704.3,5227.0,4704.3,3799.55,3799.55,20733.55,19040.15
Leh,INR,November,1.0,Hotel,Pilgrimage,Business Traveler,"romantic, family",12,18085.0,16276.5,18085.0,16276.5,Bus,3180.0,2862.0,3180.0,2862.0,1052.55,1052.55,22317.55,20191.05
Jaipur,INR,February,1.0,Airbnb,Business,Budget Traveler,family,12,12860.5,13617.0,12860.5,13617.0,Flight,8122.6,8600.4,8122.6,8600.4,1647.58,1647.58,22630.68,23864.98
Jaipur,INR,September,1.0,Airbnb,Adventure,Family Traveler,"adventure, cultural",15,13291.45,14073.3,13291.45,14073.3,Car Rental,9718.05,10289.7,9718.05,10289.7,6022.33,6022.33,29031.83,30385.33
Manali,INR,October,1.0,Hostel,Business,Budget Traveler,family,13,5251.0,4725.9,5251.0,4725.9,Flight,13996.0,12596.4,13996.0,12596.4,2545.84,2545.84,21792.84,19868.14
Goa,INR,July,1.0,Hotel,Adventure,Luxury Traveler,"romantic, adventure",10,16762.0,15085.8,16762.0,15085.8,Train,12794.0,11514.6,12794.0,11514.6,5619.19,5619.19,35175.19,32219.59
Paris,EUR,July,90.0,Hotel,Adventure,Backpacker,solo,13,5760.0,5184.0,64.0,57.6,Train,10422.0,9379.8,115.8,104.22,2641.56,29.35,18823.56,17205.36
Tokyo,JPY,August,0.55,Hotel,Pilgrimage,Backpacker,"cultural, adventure, family",7,6074.0,5466.6,11043.64,9939.27,Flight,9179.0,8261.1,16689.09,15020.18,6906.29,12556.89,22159.29,20633.99
Bangkok,THB,October,2.4,Hotel,Pilgrimage,Family Traveler,"solo, romantic, adventure",6,10204.0,9183.6,4251.67,3826.5,Train,1923.0,1730.7,801.25,721.12,1909.48,795.62,14036.48,12823.78
Cape Town,ZAR,November,4.5,Airbnb,Adventure,Business Traveler,adventure,12,16490.0,14841.0,3664.44,3298.0,Car Rental,6057.0,5451.3,1346.0,1211.4,2454.12,545.36,25001.12,22746.42
Bangkok,THB,November,2.4,Hotel,Adventure,Backpacker,"adventure, solo, family",9,5427.0,4884.3,2261.25,2035.13,Bus,4134.0,3720.6,1722.5,1550.25,3844.36,1601.82,13405.36,12449.26
Bangkok,THB,February,2.4,Hostel,Pilgrimage,Family Traveler,"adventure, solo",3,12957.4,13719.6,5398.92,5716.5,Bus,8441.35,8937.9,3517.23,3724.12,8001.59,3334.0,29400.34,30659.09
Rome,EUR,January,90.0,Hostel,Adventure,Business Traveler,"adventure, solo, cultural",5,7369.5,7803.0,81.88,86.7,Train,4993.75,5287.5,55.49,58.75,5969.35,66.33,18332.6,19059.85
Sydney,AUD,January,55.0,Airbnb,Pilgrimage,Budget Traveler,"family, adventure, romantic",4,13063.65,13832.1,237.52,251.49,Bus,2572.95,2724.3,46.78,49.53,2818.1,51.24,18454.7,19374.5
Istanbul,EUR,August,90.0,Resort,Adventure,Family Traveler,"family, solo, cultural",5,9986.0,8987.4,110.96,99.86,Bus,8983.0,8084.7,99.81,89.83,5386.6,59.85,24355.6,22458.7
Goa,INR,May,1.0,Airbnb,Pilgrimage,Luxury Traveler,"cultural, adventure",13,14139.6,10604.7,14139.6,10604.7,Bus,13339.2,10004.4,13339.2,10004.4,5738.09,5738.09,33216.89,26347.19
Rome,EUR,June,90.0,Resort,Pilgrimage,Business Traveler,romantic,12,9817.2,7362.9,109.08,81.81,Car Rental,15512.4,11634.3,172.36,129.27,2886.81,32.08,28216.41,21884.01
Leh,INR,August,1.0,Hotel,Pilgrimage,Budget Traveler,"solo, adventure",12,3213.0,2891.7,3213.0,2891.7,Train,3568.0,3211.2,3568.0,3211.2,4942.16,4942.16,11723.16,11045.06
Leh,INR,February,1.0,Resort,Pilgrimage,Business Traveler,"solo, romantic, adventure",8,14776.4,15645.6,14776.4,15645.6,Bus,12158.4,12873.6,12158.4,12873.6,3249.17,3249.17,30183.97,31768.37
Sydney,AUD,January,55.0,Hotel,Business,Luxury Traveler,"solo, adventure, cultural",13,3605.7,3817.8,65.56,69.41,Car Rental,4544.1,4811.4,82.62,87.48,6689.43,121.63,14839.23,15318.63
Tokyo,JPY,January,0.55,Resort,Business,Backpacker,"family, cultural",3,2980.95,3156.3,5419.91,5738.73,Train,5791.9,6132.6,10530.73,11150.18,7211.14,13111.16,15983.99,16500.04
Rishikesh,INR,February,1.0,Resort,Pilgrimage,Family Traveler,family,6,12354.75,13081.5,12354.75,13081.5,Bus,9905.05,10487.7,9905.05,10487.7,6592.92,6592.92,28852.72,30162.12
New York,USD,November,83.0,Airbnb,Pilgrimage,Luxury Traveler,adventure,7,2307.0,2076.3,27.8,25.02,Bus,14683.0,13214.7,176.9,159.21,4981.9,60.02,21971.9,20272.9
New York,USD,August,83.0,Airbnb,Pilgrimage,Business Traveler,"romantic, cultural, adventure",10,11899.0,10709.1,143.36,129.03,Flight,4763.0,4286.7,57.39,51.65,3824.44,46.08,20486.44,18820.24
New York,USD,January,83.0,Airbnb,Business,Backpacker,cultural,10,3065.95,3246.3,36.94,39.11,Train,9719.75,10291.5,117.11,123.99,7576.9,91.29,20362.6,21114.7
New York,USD,November,83.0,Hostel,Adventure,Backpacker,"solo, romantic",13,6481.0,5832.9,78.08,70.28,Flight,11793.0,10613.7,142.08,127.88,1847.54,22.26,20121.54,18294.14
Bangkok,THB,December,2.4,Airbnb,Adventure,Backpacker,"cultural, romantic, solo",5,18738.0,14053.5,7807.5,5855.62,Car Rental,5252.4,3939.3,2188.5,1641.38,2795.51,1164.8,26785.91,20788.31
Bangkok,THB,February,2.4,Hotel,Leisure,Business Traveler,"romantic, solo, family",15,14744.1,15611.4,6143.38,6504.75,Bus,2323.05,2459.7,967.94,1024.88,2353.87,980.78,19421.02,20424.97
Rome,EUR,June,90.0,Airbnb,Leisure,Budget Traveler,"family, adventure, solo",13,12708.0,9531.0,141.2,105.9,Train,13292.4,9969.3,147.69,110.77,4483.89,49.82,30484.29,23984.19
Rome,EUR,December,90.0,Hotel,Business,Budget Traveler,"adventure, solo",4,14282.4,10711.8,158.69,119.02,Train,14564.4,10923.3,161.83,121.37,4031.04,44.79,32877.84,25666.14
Singapore,SGD,August,62.0,Hotel,Pilgrimage,Business Traveler,"family, adventure, romantic",14,14157.0,12741.3,228.34,205.5,Car Rental,12485.0,11236.5,201.37,181.23,7719.12,124.5,34361.12,31696.92
New York,USD,January,83.0,Airbnb,Pilgrimage,Backpacker,romantic,10,12019.85,12726.9,144.82,153.34,Flight,4300.15,4553.1,51.81,54.86,5049.39,60.84,21369.39,22329.39
New York,USD,April,83.0,Airbnb,Business,Family Traveler,solo,13,6002.0,5401.8,72.31,65.08,Train,8950.0,8055.0,107.83,97.05,1649.24,19.87,16601.24,15106.04
Paris,EUR,February,90.0,Hostel,Business,Luxury Traveler,"solo, romantic, cultural",6,7469.8,7909.2,83.0,87.88,Bus,9440.95,9996.3,104.9,111.07,2674.06,29.71,19584.81,20579.56
Jaipur,INR,November,1.0,Airbnb,Business,Luxury Traveler,"romantic, solo, adventure",8,2844.0,2559.6,2844.0,2559.6,Flight,3659.0,3293.1,3659.0,3293.1,1186.01,1186.01,7689.01,7038.71
Barcelona,EUR,September,90.0,Hostel,Adventure,Backpacker,"cultural, solo, family",10,4865.4,5151.6,54.06,57.24,Flight,11658.6,12344.4,129.54,137.16,1504.28,16.71,18028.28,19000.28
Rome,EUR,November,90.0,Hotel,Business,Budget Traveler,"adventure, solo",9,3020.0,2718.0,33.56,30.2,Bus,2496.0,2246.4,27.73,24.96,4850.41,53.89,10366.41,9814.81
Kerala,INR,March,1.0,Resort,Leisure,Backpacker,"cultural, romantic",12,11011.0,9909.9,11011.0,9909.9,Car Rental,11728.0,10555.2,11728.0,10555.2,6245.83,6245.83,28984.83,26710.93
Jaipur,INR,November,1.0,Airbnb,Adventure,Business Traveler,"adventure, solo",6,9045.0,8140.5,9045.0,8140.5,Car Rental,8546.0,7691.4,8546.0,7691.4,4618.0,4618.0,22209.0,20449.9
New York,USD,June,83.0,Hotel,Business,Budget Traveler,adventure,4,8401.2,6300.9,101.22,75.91,Bus,15302.4,11476.8,184.37,138.27,4485.63,54.04,28189.23,22263.33
Sydney,AUD,January,55.0,Airbnb,Leisure,Business Traveler,"solo, romantic, adventure",9,10880.85,11520.9,197.83,209.47,Bus,10605.45,11229.3,192.83,204.17,1942.41,35.32,23428.71,24692.61
Cape Town,ZAR,April,4.5,Hostel,Leisure,Backpacker,"romantic, solo, family",6,7070.0,6363.0,1571.11,1414.0,Car Rental,12259.0,11033.1,2724.22,2451.8,5293.8,1176.4,24622.8,22689.9
New York,USD,January,83.0,Hostel,Leisure,Backpacker,"solo, family",15,6724.35,7119.9,81.02,85.78,Car Rental,5080.45,5379.3,61.21,64.81,6497.9,78.29,18302.7,18997.1
Leh,INR,December,1.0,Airbnb,Adventure,Business Traveler,"romantic, family",11,3604.8,2703.6,3604.8,2703.6,Bus,3603.6,2702.7,3603.6,2702.7,6706.81,6706.81,13915.21,12113.11
Kerala,INR,January,1.0,Resort,Pilgrimage,Budget Traveler,"adventure, cultural",12,6033.3,6388.2,6033.3,6388.2,Car Rental,3467.15,3671.1,3467.15,3671.1,6533.46,6533.46,16033.91,16592.76
New York,USD,April,83.0,Hotel,Pilgrimage,Family Traveler,"cultural, romantic",9,18788.0,16909.2,226.36,203.73,Train,3364.0,3027.6,40.53,36.48,3529.18,42.52,25681.18,23465.98
Manali,INR,January,1.0,Hotel,Pilgrimage,Backpacker,"romantic, solo",15,7393.3,7828.2,7393.3,7828.2,Car Rental,5472.3,5794.2,5472.3,5794.2,2531.93,2531.93,15397.53,16154.33
Rishikesh,INR,March,1.0,Hotel,Leisure,Backpacker,adventure,6,14458.0,13012.2,14458.0,13012.2,Car Rental,10225.0,9202.5,10225.0,9202.5,6764.35,6764.35,31447.35,28979.05
Rome,EUR,February,90.0,Hotel,Business,Business Traveler,"solo, adventure",12,10419.3,11032.2,115.77,122.58,Bus,9293.05,9839.7,103.26,109.33,4429.67,49.22,24142.02,25301.57
Rome,EUR,December,90.0,Resort,Adventure,Family Traveler,"cultural, solo",4,16628.4,12471.3,184.76,138.57,Bus,3531.6,2648.7,39.24,29.43,4342.03,48.24,24502.03,19462.03
London,GBP,June,105.0,Airbnb,Business,Family Traveler,romantic,13,9010.8,6758.1,85.82,64.36,Train,3301.2,2475.9,31.44,23.58,4781.05,45.53,17093.05,14015.05
Jaipur,INR,March,1.0,Resort,Adventure,Budget Traveler,adventure,12,10387.0,9348.3,10387.0,9348.3,Car Rental,4732.0,4258.8,4732.0,4258.8,2252.92,2252.92,17371.92,15860.02
Bangkok,THB,March,2.4,Hotel,Pilgrimage,Backpacker,"solo, romantic, adventure",10,16410.0,14769.0,6837.5,6153.75,Bus,2618.0,2356.2,1090.83,981.75,4968.21,2070.09,23996.21,22093.41
Rome,EUR,January,90.0,Hotel,Business,Budget Traveler,"cultural, adventure, family",7,3284.4,3477.6,36.49,38.64,Car Rental,6409.85,6786.9,71.22,75.41,7151.6,79.46,16845.85,17416.1
Bangkok,THB,October,2.4,Hostel,Pilgrimage,Backpacker,"solo, family, cultural",3,17585.0,15826.5,7327.08,6594.38,Car Rental,9714.0,8742.6,4047.5,3642.75,2212.88,922.03,29511.88,26781.98
Cape Town,ZAR,September,4.5,Airbnb,Adventure,Backpacker,"cultural, solo, romantic",7,6120.85,6480.9,1360.19,1440.2,Flight,6342.7,6715.8,1409.49,1492.4,3962.72,880.6,16426.27,17159.42
Jaipur,INR,September,1.0,Hotel,Adventure,Family Traveler,romantic,14,12466.1,13199.4,12466.1,13199.4,Train,5231.75,5539.5,5231.75,5539.5,3279.44,3279.44,20977.29,22018.34
Tokyo,JPY,November,0.55,Hotel,Adventure,Backpacker,"adventure, romantic, solo",14,14843.0,13358.7,26987.27,24288.55,Car Rental,3612.0,3250.8,6567.27,5910.55,6388.56,11615.56,24843.56,22998.06
Goa,INR,June,1.0,Hostel,Leisure,Business Traveler,family,8,14544.0,10908.0,14544.0,10908.0,Train,5343.6,4007.7,5343.6,4007.7,3000.58,3000.58,22888.18,17916.28
Tokyo,JPY,February,0.55,Resort,Business,Budget Traveler,"romantic, family, cultural",14,15839.75,16771.5,28799.55,30493.64,Train,12010.5,12717.0,21837.27,23121.82,5836.99,10612.71,33687.24,35325.49
Rishikesh,INR,December,1.0,Resort,Business,Luxury Traveler,"cultural, romantic",3,8908.8,6681.6,8908.8,6681.6,Train,15978.0,11983.5,15978.0,11983.5,4503.26,4503.26,29390.06,23168.36
Tokyo,JPY,August,0.55,Hostel,Business,Business Traveler,"adventure, cultural",12,8357.0,7521.3,15194.55,13675.09,Train,7526.0,6773.4,13683.64,12315.27,7191.2,13074.91,23074.2,21485.9
New York,USD,January,83.0,Hotel,Adventure,Family Traveler,romantic,4,15084.95,15972.3,181.75,192.44,Train,6443.85,6822.9,77.64,82.2,5776.32,69.59,27305.12,28571.52
Rome,EUR,September,90.0,Hotel,Adventure,Backpacker,adventure,6,5803.8,6145.2,64.49,68.28,Car Rental,7366.95,7800.3,81.86,86.67,1861.91,20.69,15032.66,15807.41
London,GBP,July,105.0,Hotel,Pilgrimage,Budget Traveler,"romantic, family, solo",3,4674.0,4206.6,44.51,40.06,Bus,7642.0,6877.8,72.78,65.5,2736.05,26.06,15052.05,13820.45
Leh,INR,December,1.0,Resort,Adventure,Budget Traveler,"family, cultural",3,20845.2,15633.9,20845.2,15633.9,Flight,10618.8,7964.1,10618.8,7964.1,6530.28,6530.28,37994.28,30128.28
London,GBP,May,105.0,Resort,Business,Family Traveler,"solo, cultural",9,7190.4,5392.8,68.48,51.36,Flight,2738.4,2053.8,26.08,19.56,3035.06,28.91,12963.86,10481.66
Leh,INR,May,1.0,Airbnb,Leisure,Business Traveler,solo,8,19278.0,14458.5,19278.0,14458.5,Flight,1830.0,1372.5,1830.0,1372.5,5722.81,5722.81,26830.81,21553.81
Singapore,SGD,August,62.0,Hostel,Adventure,Budget Traveler,"solo, romantic",8,3426.0,3083.4,55.26,49.73,Flight,11914.0,10722.6,192.16,172.95,3963.59,63.93,19303.59,17769.59
Leh,INR,January,1.0,Hotel,Leisure,Business Traveler,"adventure, family, solo",13,11512.4,12189.6,11512.4,12189.6,Car Rental,8878.25,9400.5,8878.25,9400.5,3527.82,3527.82,23918.47,25117.92
Tokyo,JPY,April,0.55,Hotel,Adventure,Backpacker,"adventure, cultural, family",3,3435.0,3091.5,6245.45,5620.91,Train,14461.0,13014.9,26292.73,23663.45,2536.86,4612.47,20432.86,18643.26
Dubai,AED,January,22.5,Hostel,Pilgrimage,Business Traveler,"adventure, cultural, family",15,10944.6,11588.4,486.43,515.04,Car Rental,5079.6,5378.4,225.76,239.04,1965.71,87.36,17989.91,18932.51
Dubai,AED,September,22.5,Hotel,Adventure,Business Traveler,"family, romantic, cultural",14,9128.15,9665.1,405.7,429.56,Flight,12432.1,13163.4,552.54,585.04,1650.69,73.36,23210.94,24479.19
Tokyo,JPY,May,0.55,Airbnb,Adventure,Business Traveler,"adventure, solo",9,19933.2,14949.9,36242.18,27181.64,Car Rental,13647.6,10235.7,24813.82,18610.36,6420.37,11673.4,40001.17000000001,31605.97
Manali,INR,February,1.0,Resort,Business,Luxury Traveler,family,15,13013.5,13779.0,13013.5,13779.0,Flight,6334.2,6706.8,6334.2,6706.8,5463.04,5463.04,24810.74,25948.84
